order_id,order_date,region,product_category,product_name,quantity,unit_price,total_amount,customer_segment,channel
ORD-10001,2025-03-12,South,Electronics,Wireless Mouse,5,31.6,154.35,Consumer,Offline
ORD-10002,2025-02-02,South,Kitchen,Blender,6,74.89,463.45,Consumer,Online
ORD-10003,2025-02-08,West,Electronics,USB-C Hub,4,65.55,271.5,Consumer,Online
ORD-10004,2025-02-10,East,Fitness,Adjustable Dumbbells,4,200.35,831.92,Consumer,Offline
ORD-10005,2025-11-14,North,Beauty,Hair Dryer,1,51.28,51.08,Consumer,Online
ORD-10006,2025-12-26,North,Beauty,Makeup Kit,6,45.36,281.37,Corporate,Offline
ORD-10007,2025-01-09,South,Electronics,Noise Cancelling Headphones,8,145.1,1128.92,Corporate,Offline
ORD-10008,2025-12-26,West,Outdoor,Trail Backpack,6,93.64,541.96,Small Business,Online
ORD-10009,2025-03-28,West,Fitness,Resistance Bands,5,26.88,139.19,Consumer,Offline
ORD-10010,2025-07-31,West,Kitchen,Air Fryer,4,111.71,434.11,Corporate,Offline
ORD-10011,2025-02-10,East,Home Office,Standing Desk,2,525.27,1043.46,Consumer,Offline
ORD-10012,2025-08-29,East,Beauty,Skin Care Set,5,58.04,278.71,Consumer,Online
ORD-10013,2025-06-03,North,Fitness,Resistance Bands,3,27.37,85.01,Small Business,Offline
ORD-10014,2025-12-16,West,Beauty,Hair Dryer,6,49.84,301.15,Corporate,Offline
ORD-10015,2025-03-02,North,Electronics,Wireless Mouse,4,31.86,123.63,Consumer,Online
ORD-10016,2025-01-24,South,Home Office,Desk Lamp,2,41.62,86.34,Consumer,Online
ORD-10017,2025-04-12,South,Electronics,USB-C Hub,4,66.56,265.68,Corporate,Online
ORD-10018,2025-11-29,North,Beauty,Hair Dryer,5,46.83,234.81,Consumer,Online
ORD-10019,2025-05-12,East,Beauty,Hair Dryer,3,65.84,200.95,Small Business,Online
ORD-10020,2025-10-02,South,Kitchen,Coffee Maker,4,74.24,302.8,Consumer,Offline
ORD-10021,2025-12-22,East,Fitness,Adjustable Dumbbells,2,193.95,376.59,Small Business,Offline
ORD-10022,2025-09-09,North,Kitchen,Blender,4,59.24,240.77,Consumer,Offline
ORD-10023,2025-01-06,North,Kitchen,Blender,5,82.2,417.15,Consumer,Offline
ORD-10024,2025-06-20,North,Electronics,Noise Cancelling Headphones,5,163.81,802.45,Consumer,Offline
ORD-10025,2025-11-28,South,Electronics,Wireless Mouse,3,21.11,64.72,Small Business,Online
ORD-10026,2025-09-17,East,Outdoor,Water Bottle,7,19.96,137.6,Corporate,Offline
ORD-10027,2025-10-20,South,Home Office,Ergonomic Chair,7,253.19,1734.15,Corporate,Offline
ORD-10028,2025-01-25,East,Kitchen,Air Fryer,4,120.11,486.65,Consumer,Online
ORD-10029,2025-06-15,North,Beauty,Hair Dryer,6,68.99,406.11,Corporate,Online
ORD-10030,2025-09-26,West,Kitchen,Air Fryer,5,98.36,504.82,Consumer,Offline
ORD-10031,2025-08-29,South,Kitchen,Blender,2,72.89,147.24,Consumer,Offline
ORD-10032,2025-10-08,North,Fitness,Resistance Bands,4,16.04,65.43,Consumer,Online
ORD-10033,2025-09-15,South,Kitchen,Blender,6,66.99,386.82,Corporate,Online
ORD-10034,2025-08-23,West,Beauty,Skin Care Set,2,65.52,132.08,Consumer,Online
ORD-10035,2025-10-15,North,Outdoor,Water Bottle,4,20.66,84.09,Corporate,Offline
ORD-10036,2025-12-09,North,Kitchen,Blender,5,72.99,359.98,Consumer,Online
ORD-10037,2025-09-24,West,Beauty,Makeup Kit,5,41.05,210.38,Corporate,Offline
ORD-10038,2025-09-20,North,Electronics,Wireless Mouse,4,23.55,96.37,Corporate,Offline
ORD-10039,2025-10-01,South,Kitchen,Blender,3,63.51,194.15,Small Business,Offline
ORD-10040,2025-04-14,East,Electronics,Wireless Mouse,4,32.94,131.81,Corporate,Offline
ORD-10041,2025-05-20,West,Fitness,Adjustable Dumbbells,5,252.83,1281.33,Consumer,Online
ORD-10042,2025-05-04,South,Fitness,Yoga Mat,7,35.27,250.65,Corporate,Offline
ORD-10043,2025-03-16,East,Home Office,Desk Lamp,3,49.74,149.48,Consumer,Offline
ORD-10044,2025-04-28,West,Kitchen,Blender,2,102.49,200.77,Consumer,Offline
ORD-10045,2025-05-01,East,Outdoor,Water Bottle,7,31.19,210.1,Corporate,Offline
ORD-10046,2025-02-27,West,Fitness,Resistance Bands,5,22.17,110.21,Consumer,Online
ORD-10047,2025-11-20,East,Electronics,Wireless Mouse,1,23.12,22.84,Consumer,Online
ORD-10048,2025-11-04,West,Beauty,Skin Care Set,4,62.21,248.28,Corporate,Offline
ORD-10049,2025-02-12,North,Beauty,Makeup Kit,6,52.16,314.6,Consumer,Offline
ORD-10050,2025-10-13,North,Home Office,Desk Lamp,5,26.93,133.16,Consumer,Online
ORD-10051,2025-12-15,East,Electronics,USB-C Hub,5,42.69,206.97,Corporate,Online
ORD-10052,2025-12-03,East,Fitness,Yoga Mat,2,26.9,54.85,Consumer,Offline
ORD-10053,2025-03-22,East,Home Office,Desk Lamp,4,42.84,170.26,Corporate,Online
ORD-10054,2025-12-13,East,Outdoor,Camping Tent,1,186.15,188.41,Small Business,Offline
ORD-10055,2025-09-28,East,Fitness,Resistance Bands,4,18.23,71.05,Corporate,Offline
ORD-10056,2025-09-10,East,Fitness,Resistance Bands,2,17.57,34.48,Small Business,Offline
ORD-10057,2025-01-10,South,Electronics,Wireless Mouse,8,26.27,204.61,Corporate,Online
